website,logo_url,fav_url
facebook.com,http://tse4.mm.bing.net/th?id=OIP.55DCXbXlKDgEBoZhKxpzLAHaHa&pid=15.1,https://static.xx.fbcdn.net/rsrc.php/yz/r/KFyVIAWzntM.ico
twitter.com,https://abs.twimg.com/errors/logo46x38.png,https://abs.twimg.com/responsive-web/client-web-legacy/icon-svg.168b89d5.svg
ask.com,http://tse4.mm.bing.net/th?id=OIP.eAHzrOyKNS5JJKZ5PMytTwHaHa&pid=15.1,https://www.ask.com/favicon.ico
att.com,http://tse2.mm.bing.net/th?id=OIP.SjMHicj4nvYjC0XKii--CQHaFj&pid=15.1,https://www.att.com/favicon.ico
go.com,"https://lumiere-a.akamaihd.net/v1/images/shopdisney-logo-desktop_1f595224.jpeg?region=0,0,1536,300",https://static-mh.content.disney.io/matterhorn/assets/favicon-94e3862e7fb9.ico
indeed.com,http://tse1.mm.bing.net/th?id=OIP.qzOyi5whtnUIR6eLtSSmyAHaB6&pid=15.1,https://ar.indeed.com?r=us/images/favicon.ico
verizonwireless.com,ContentDecodingError,ContentDecodingError
godaddy.com,http://tse2.mm.bing.net/th?id=OIP.0XWJ5lxxzFwgvUFqdAy8IwHaE8&pid=15.1,https://ar.godaddy.com///img6.wsimg.com/ux/favicon/apple-icon-114x114.png
directv.com,ReadTimeout,ReadTimeout
whitepages.com,http://tse2.mm.bing.net/th?id=OIP.XFe4cD4o8UvXscuCIMHg0wAAAA&pid=15.1,http://www.whitepages.com/favicon.ico
surveymonkey.com,https://prod.smassets.net/assets/cms/cc/app/2.111.0/images/logo-surveymonkey.svg,https://cdn.smassets.net/assets/cms/cc/app/static/favicon.ico
comcast.com,https://polaris.xfinity.com/images/svgs/xfinity_logo.svg,https://www.xfinity.com///cdn.comcast.com/learn/-/media/common/favicon/apple-touch-icon.png
t-mobile.com,http://tse2.mm.bing.net/th?id=OIP.hdsM4kCoMC1GYNNf6N60IwHaGM&pid=15.1,https://www.t-mobile.com//favicon.ico
aol.com,https://s.yimg.com/cv/apiv2/default/20190830/aol-logo.svg,https://s.yimg.com/cv/apiv2/aolfp/images/favicon/apple-touch-icon-57x57.png
verizon.com,ContentDecodingError,ContentDecodingError
shopify.com,http://tse1.mm.bing.net/th?id=OIP.v7YqdYNctsBliZBi1YE0FAHaHv&pid=15.1,https://cdn.shopify.com/shopify-marketing_assets/static/shopify-favicon.png
sprint.com,http://tse2.mm.bing.net/th?id=OIP.hdsM4kCoMC1GYNNf6N60IwHaGM&pid=15.1,https://www.t-mobile.com/?src=spr&rdpage=//favicon.ico
spokeo.com,http://tse4.mm.bing.net/th?id=OIP.ZNW3oLLXnTpMM6LZImd-UQHaD4&pid=15.1,http://www.spokeo.com/favicon.ico
bing.com,http://tse4.mm.bing.net/th?id=OIP.F714JC_Yqnw0GNto5jK4fgHaFj&pid=15.1,http://www.bing.com//sa/simg/favicon-2x.ico
lg.com,https://www.lg.com/ar/lg5-common/images/common/logo-modal-head.jpg,https://www.lg.com/ar/lg5-common-gp/favicons/152x152.png
timewarnercable.com,ConnectTimeout,ConnectTimeout
constantcontact.com,https://images.ctfassets.net/t21gix3kzulv/78gf1S3CjPrnl9rURf6Q8w/3c20fb510dd4d4653feddf86ece35e1a/ctct_ripple_logo_horizontal_white_orange.svg,https://images.ctfassets.net/t21gix3kzulv/19UtsZt4MxEsh0OenLMjZF/997ceddb0a55a4f815ad5b1a4836ca67/ctct_ripple_logo_icon_blue_orange_100x100.svg
zoho.com,https://www.zoho.com/es-xl///www.zohowebstatic.com/sites/default/files/zoholics-logo.png,https://www.zoho.com/es-xl//sites/all/themes/zoho/favicon.ico
